字段 1,中文题名,作者,学位授予单位,数据库,学位授予年度,被引,下载,操作,标签
1,基于代谢组学和蛋白组学研究抗栓一号方干预稳定性冠心病的临床效应及机制,王言哲,南京中医药大学,博士,2025,,766,原版阅读      CNKI AI阅读,"代谢组学, 蛋白组学, 抗栓一号方, 稳定性冠心病, 临床效应, 机制"
2,基于线粒体自噬研究黄精赞育胶囊治疗少弱精子症的作用机制,高源,北京中医药大学,硕士,2025,,15,原版阅读      CNKI AI阅读,"线粒体自噬, 黄精赞育胶囊, 少弱精子症"
3,黄精炮制前后有效成分变化及其降糖活性研究,何永凤,昆明理工大学,硕士,2025,,37,原版阅读      CNKI AI阅读,"黄精, 炮制, 有效成分, 降糖活性"
4,三七-滇黄精轮作与间作对三七连作障碍的消减效应研究,彭佳,云南师范大学,硕士,2025,,10,原版阅读      CNKI AI阅读,"三七, 滇黄精, 轮作, 间作, 连作障碍, 消减效应"
5,明胶/黄精多糖纳米纤维海绵的制备及其用于止血和感染性伤口修复的研究,王睛,青岛大学,硕士,2025,,8,原版阅读      CNKI AI阅读,"明胶, 黄精多糖, 纳米纤维海绵, 止血, 感染性伤口修复"
6,黄精多糖通过调控CXCL10与MAPK/NF-κB信号通路改善骨关节炎,邓铃川,广西医科大学,硕士,2025,,1,原版阅读      CNKI AI阅读,"黄精多糖, CXCL10, MAPK/NF-κB信号通路, 骨关节炎"
7,国医大师薛伯寿高血压防治体系构建研究,单士喆,中国中医科学院,博士,2025,,78,原版阅读      CNKI AI阅读,"国医大师, 薛伯寿, 高血压"
8,两种外源激素打破黄精种子双重休眠的机制研究,王溶溶,河南农业大学,硕士,2025,1,633,原版阅读      CNKI AI阅读,"机制, 外源激素, 黄精种子, 双重休眠"
9,一种低成本高效的降血糖评价方法的研究,谭成,右江民族医学院,硕士,2025,,55,原版阅读      CNKI AI阅读,降血糖评价方法
10,水杨酸促进多花黄精硒积累及含硒糖化蛋白合成的机制研究,李晓春,中南林业科技大学,博士,2025,,426,原版阅读      CNKI AI阅读,"水杨酸, 多花黄精, 硒积累, 含硒糖化蛋白, 合成机制"
